1644512216903,55,69,209,728,273,84,39,35
1644512217030,57,62,210,780,284,81,39,40
1644512217157,57,71,209,825,253,72,40,43
1644512217293,60,75,215,902,331,94,44,46
1644512217443,57,72,185,869,321,93,45,45
1644512217586,40,61,154,762,306,92,44,41
1644512217735,35,60,148,786,297,95,48,42
1644512217885,62,170,307,804,352,119,52,45
1644512218033,62,177,319,717,277,121,52,42
1644512218159,63,182,324,677,274,123,52,43
1644512218297,63,186,330,673,269,121,50,46
1644512218445,67,187,340,598,275,125,47,42
1644512218594,44,96,195,570,188,105,41,37
1644512218730,40,77,157,518,187,88,40,39
1644512218858,39,61,140,523,208,97,43,42
1644512218983,39,50,138,519,315,189,60,39
1644512219110,41,62,161,623,345,222,68,47
1644512219236,40,61,178,568,353,222,66,47
1644512219237,40,61,178,568,353,222,66,47
1644512219383,41,63,181,555,348,224,64,63
1644512219532,41,67,194,556,341,224,62,74
1644512219683,45,69,210,527,334,185,61,79
1644512219828,36,60,181,374,299,148,56,78
1644512219958,38,62,158,292,290,149,60,77
1644512219959,38,62,158,292,290,149,60,77
1644512220087,42,65,156,273,310,151,62,73
1644512220215,57,100,262,233,353,185,68,67
1644512220356,72,118,303,222,336,178,67,68
1644512220357,72,118,303,222,336,178,67,68
1644512220438,79,141,372,267,334,173,67,68
1644512220444,81,142,381,266,328,170,64,68
1644512220450,81,145,399,279,308,173,79,62
1644512220456,76,132,372,273,260,143,82,53
1644512220462,61,132,392,268,170,114,77,41
1644512220468,58,127,333,187,154,111,72,41
1644512220473,56,137,342,167,147,108,75,46
1644512220479,55,140,328,143,137,116,63,42
1644512220485,50,139,291,165,120,112,57,44
1644512220490,52,133,257,185,134,113,52,43
1644512220496,49,122,250,180,149,119,54,38
1644512220502,47,107,241,176,151,120,49,33
1644512220507,46,103,247,168,147,95,43,36
1644512220513,47,99,268,138,140,80,35,35
1644512220519,45,90,232,124,134,83,35,36
1644512220527,38,83,224,127,120,73,37,32
1644512220530,38,85,231,130,119,72,37,38
1644512220535,38,92,258,140,121,72,39,44
1644512220541,36,87,257,104,132,71,40,46
1644512220546,37,92,252,103,143,71,42,49
1644512220552,38,90,255,95,156,76,35,48
1644512220557,39,96,240,91,157,80,36,41
1644512220563,43,93,238,75,175,84,38,40
1644512220569,41,95,245,81,196,91,37,37
1644512220574,40,91,244,90,209,94,36,35
1644512220579,39,100,244,90,202,89,37,35
1644512220585,36,89,236,89,199,117,41,34
1644512220591,33,78,168,83,182,131,57,37
1644512220596,37,80,158,72,141,138,66,41
1644512220602,43,102,172,52,109,148,74,43
1644512220607,44,87,164,55,107,152,77,45
1644512220613,42,96,168,51,106,142,81,45
1644512220619,43,96,168,52,103,136,69,40
1644512220624,42,95,172,71,106,127,66,39
1644512220630,37,83,162,72,120,115,63,37
1644512220635,35,81,167,71,118,111,62,36
1644512220641,43,87,176,74,119,97,55,39
1644512220646,37,86,176,75,118,82,55,39
1644512220652,36,92,140,59,105,70,51,42
1644512220657,36,81,172,61,130,70,42,40
1644512220662,36,80,208,75,181,112,49,40
1644512220669,26,60,199,74,194,108,50,38
1644512220674,30,65,199,72,197,109,51,37
1644512220680,33,74,196,67,197,108,52,31
1644512220686,34,78,168,62,188,104,54,34
1644512220691,34,84,138,46,162,70,48,33
1644512220697,35,85,153,45,155,71,42,30
1644512220703,36,82,158,47,154,71,40,29
1644512220708,35,78,153,54,156,84,34,41
1644512220714,39,83,145,51,130,82,29,42
1644512220720,40,81,148,54,116,72,26,42
1644512220725,41,84,147,59,163,80,30,46
1644512220731,40,101,171,59,166,86,30,46
1644512220736,39,92,174,55,164,73,30,34
1644512220742,33,85,172,52,162,85,33,44
1644512220748,34,83,197,49,166,90,44,45
1644512220753,34,92,224,40,120,83,42,43
1644512220759,36,89,211,40,118,78,44,42
1644512220765,38,89,207,40,114,79,46,45
1644512220770,45,88,207,40,115,62,44,50
1644512220776,45,88,173,43,96,52,34,51
1644512220781,43,90,136,47,88,54,39,52
1644512220787,40,76,124,45,85,52,38,52
1644512220793,37,73,122,46,85,60,40,52
1644512220798,40,76,124,45,85,67,42,46
1644512220804,44,95,122,41,75,67,46,58
1644512220810,46,91,118,38,61,81,48,57
1644512220815,49,91,175,44,73,85,47,57
1644512220820,49,93,185,50,88,77,46,56
1644512220826,41,91,192,53,106,76,43,51
1644512220832,39,69,183,55,110,77,38,41
1644512220838,45,74,169,56,111,61,31,46
1644512220843,52,69,116,54,106,57,40,50
1644512220849,51,74,108,51,108,63,42,49
1644512220855,51,89,128,60,106,66,44,45
1644512220860,52,91,124,54,116,77,48,45
1644512220866,50,82,123,52,116,94,49,41
1644512220872,41,82,116,50,134,98,43,40
1644512220877,43,88,123,51,129,98,44,45
1644512220883,44,76,114,57,153,107,43,45
1644512220888,39,77,124,57,155,105,39,40
1644512220894,34,71,124,58,157,94,42,39
1644512220900,40,85,120,59,149,92,43,44
1644512220905,39,75,121,63,170,94,37,41
1644512220911,39,75,97,53,144,80,35,41
1644512220916,38,74,106,57,139,73,33,41
1644512220922,37,97,148,57,140,68,34,38
1644512220928,36,88,154,53,124,69,35,30
1644512220934,37,88,144,45,92,71,45,29
1644512220939,36,86,144,47,107,78,48,29
1644512220945,44,108,177,49,126,83,49,33
1644512220950,44,95,150,52,129,88,46,35
1644512220956,39,95,149,53,131,86,43,34
1644512220962,40,96,151,52,128,80,38,45
1644512220967,43,107,160,52,145,77,35,52
