1644513282353,78,126,50,27,63,177,119,74
1644513282480,77,126,63,27,70,180,120,76
1644513282607,76,124,66,29,74,183,113,75
1644513282608,76,124,66,29,74,183,113,75
1644513282741,62,124,66,33,87,146,109,73
1644513282879,50,93,64,34,86,111,103,64
1644513283019,42,81,63,35,81,97,102,51
1644513283156,39,55,54,38,100,83,89,43
1644513283157,39,55,54,38,100,83,89,43
1644513283287,42,53,95,49,128,80,49,41
1644513283288,42,53,95,49,128,80,49,41
1644513283418,37,42,102,50,130,78,45,34
1644513283558,34,37,105,49,129,72,36,23
1644513283692,25,35,111,68,134,72,32,22
1644513283823,26,35,121,71,145,77,29,23
1644513283959,22,32,114,73,139,79,28,21
1644513284101,23,29,117,88,140,79,28,21
1644513284249,25,27,133,97,142,80,27,20
1644513284404,26,26,129,88,139,80,28,22
1644513284550,26,27,136,102,116,75,26,20
1644513284690,27,34,155,148,147,64,28,20
1644513284817,26,36,178,164,149,61,27,20
1644513284948,24,37,176,164,151,60,25,20
1644513285074,24,38,185,176,152,58,23,19
1644513285200,21,39,217,193,146,56,22,19
1644513285328,22,37,204,200,92,46,23,21
1644513285557,26,38,191,187,81,41,22,19
1644513285717,33,41,194,185,72,41,32,24
1644513285862,76,65,217,176,70,42,34,43
1644513286191,87,84,230,211,49,36,31,46
1644513286322,55,71,201,209,45,35,28,32
1644513286580,40,61,206,322,94,43,26,29
1644513286715,38,66,218,338,101,44,26,30
1644513286797,46,102,269,341,134,58,30,32
1644513286804,87,232,476,358,153,81,46,46
1644513286810,88,249,482,349,154,80,45,45
1644513286816,89,255,494,231,134,77,45,47
1644513286822,92,261,504,211,133,79,48,51
1644513286828,88,257,485,208,165,85,49,49
1644513286834,49,154,279,166,192,77,36,36
1644513286840,45,129,325,162,211,88,41,37
1644513286846,49,142,356,168,227,91,40,36
1644513286852,57,145,372,161,234,93,39,43
1644513286858,80,144,401,159,197,81,39,59
1644513286864,101,201,496,172,156,74,47,67
1644513286870,100,203,456,151,251,97,44,68
1644513286876,98,188,431,117,257,103,46,69
1644513286882,93,179,415,115,255,101,43,62
1644513286888,77,178,418,116,256,99,42,52
1644513286894,48,118,285,89,257,97,37,42
1644513286900,45,111,306,87,143,61,39,39
1644513286905,43,108,287,89,135,58,41,37
1644513286912,39,107,293,90,156,61,42,39
1644513286918,43,95,267,86,160,64,67,37
1644513286924,54,107,287,92,156,64,103,46
1644513286929,55,105,238,102,163,65,105,49
1644513286934,56,107,249,100,163,60,106,48
1644513286935,56,107,249,100,163,60,106,48
1644513286941,57,102,218,100,159,56,113,49
1644513286947,53,97,186,99,153,57,106,53
1644513286953,44,76,173,103,157,58,71,45
1644513286959,42,73,175,122,167,66,70,45
1644513286965,42,71,179,125,206,94,71,46
1644513286971,38,72,186,134,198,97,59,44
1644513286977,33,68,181,142,205,95,51,35
1644513286983,32,55,199,176,215,97,49,34
1644513286989,36,58,199,200,240,93,45,33
1644513286994,38,82,180,205,213,73,40,32
1644513287000,41,85,180,204,212,69,42,35
1644513287007,43,88,190,199,206,84,41,33
1644513287012,41,86,159,165,191,82,40,33
1644513287018,39,91,224,108,150,78,38,32
1644513287024,38,69,230,117,168,78,35,31
1644513287030,37,88,238,120,181,84,37,33
1644513287036,37,86,231,124,198,71,33,32
1644513287042,37,84,224,124,198,78,39,34
1644513287048,38,77,169,128,196,80,41,35
1644513287053,37,83,230,132,161,70,42,35
1644513287059,36,60,222,136,159,66,36,31
1644513287065,33,72,219,137,156,64,35,30
1644513287071,34,79,211,137,161,59,35,28
1644513287077,35,86,241,131,170,61,34,28
1644513287083,39,82,222,114,184,67,33,28
1644513287089,40,83,228,110,167,65,35,29
1644513287094,38,72,227,106,153,67,35,29
1644513287100,39,68,226,109,163,65,29,28
1644513287106,37,75,175,105,149,63,28,28
1644513287112,33,77,160,120,129,59,31,28
1644513287118,32,73,160,148,135,60,29,25
1644513287124,35,74,166,171,144,58,31,28
1644513287130,34,71,167,168,132,54,31,27
1644513287136,36,52,175,169,123,56,32,28
1644513287142,33,42,134,148,111,53,30,26
1644513287147,38,68,130,116,112,53,34,38
1644513287153,41,90,180,91,115,56,36,38
1644513287159,40,98,193,98,118,58,36,37
1644513287165,39,112,186,96,121,60,36,36
1644513287171,39,113,187,95,141,63,37,37
1644513287177,38,99,172,87,130,58,34,28
1644513287183,33,113,123,76,119,53,32,26
1644513287189,31,112,130,89,120,52,33,27
1644513287195,28,99,132,94,155,52,33,28
1644513287200,30,100,133,94,144,49,33,28
1644513287206,27,101,148,91,148,49,30,27
1644513287212,32,80,208,85,142,49,31,30
1644513287218,32,71,195,72,135,46,28,30
1644513287224,31,69,201,93,93,41,30,28
1644513287230,29,66,207,101,92,47,30,29
1644513287236,27,65,194,100,86,46,32,28
1644513287242,22,38,121,96,87,45,29,26
1644513287247,26,63,134,88,81,45,31,28
1644513287253,29,63,135,64,92,45,30,28
1644513287258,31,66,175,67,117,50,34,30
1644513287259,31,66,175,67,117,50,34,30
1644513287265,31,70,178,69,123,56,34,35
1644513287271,32,75,177,80,143,70,38,34
1644513287277,31,66,163,79,147,75,37,34
