1647183764658,568,317,122,391,515,178,304,237
1647183764785,659,349,130,435,555,187,476,373
1647183764912,839,480,172,607,678,496,528,404
1647183765040,848,521,208,833,984,557,565,402
1647183765170,922,553,222,877,1017,571,671,531
1647183765310,900,513,221,930,1037,585,679,547
1647183765459,911,561,224,958,1062,607,609,505
1647183765610,810,478,200,995,1138,752,610,499
1647183765740,805,447,196,836,969,811,643,536
1647183765867,781,443,215,885,955,837,562,416
1647183766001,727,432,230,892,1012,860,516,384
1647183766136,652,353,241,906,1038,942,534,343
1647183766267,715,394,234,808,940,723,499,320
1647183766393,738,389,210,831,883,622,400,235
1647183766540,620,344,184,761,816,573,362,211
1647183766687,652,362,161,696,739,526,367,192
1647183766814,719,378,144,668,654,333,282,187
1647183766943,616,314,156,632,610,338,276,176
1647183767070,575,301,151,544,605,331,259,197
1647183767212,554,294,138,539,642,331,247,176
1647183767349,545,242,138,636,690,336,250,177
1647183767488,431,202,144,646,688,343,252,160
1647183767628,450,189,142,615,668,383,247,173
1647183767756,465,193,177,747,688,391,266,165
1647183767885,560,226,178,750,634,392,320,210
1647183768011,577,252,195,694,626,398,308,204
1647183768141,596,314,188,709,754,435,325,212
1647183768277,619,355,197,757,819,345,300,206
1647183768278,619,355,197,757,819,345,300,206
1647183768413,645,361,170,689,756,324,285,204
1647183768419,590,376,177,704,811,359,238,171
1647183768424,570,375,149,671,783,414,241,185
1647183768425,570,375,149,671,783,414,241,185
1647183768432,568,319,163,662,657,356,198,169
1647183768438,515,270,135,647,484,349,205,162
1647183768443,484,261,151,668,568,490,220,143
1647183768447,537,209,140,626,501,477,202,138
1647183768448,537,209,140,626,501,477,202,138
1647183768453,522,256,144,626,484,459,205,140
1647183768459,584,296,211,710,524,552,234,150
1647183768464,624,290,245,753,632,551,227,154
1647183768470,649,279,234,701,648,489,209,158
1647183768476,630,328,253,729,691,516,218,161
1647183768482,652,286,265,753,676,528,226,157
1647183768487,622,261,199,619,627,456,211,157
1647183768493,612,287,163,519,576,458,211,154
1647183768498,608,294,171,541,572,473,208,156
1647183768501,595,252,174,606,614,470,210,146
1647183768507,562,219,154,550,616,414,179,129
1647183768512,534,207,154,591,668,399,165,124
1647183768517,551,230,150,592,630,392,168,118
1647183768518,551,230,150,592,630,392,168,118
1647183768524,502,227,142,607,557,340,148,96
1647183768527,482,226,99,479,426,296,123,81
