1648812129303,657,403,452,526,307,113,159,123
1648812129440,710,365,475,538,217,92,162,130
1648812129570,766,378,490,571,236,89,165,159
1648812129699,748,388,447,558,211,92,182,289
1648812129844,891,411,389,427,168,98,141,328
1648812129845,891,411,389,427,168,98,141,328
1648812129995,900,514,369,388,183,112,192,465
1648812129996,900,514,369,388,183,112,192,465
1648812130145,964,570,345,419,199,117,215,497
1648812130294,1037,644,306,370,191,114,218,520
1648812130439,1096,662,212,423,212,116,210,470
1648812130567,1072,776,205,398,223,127,215,465
1648812130732,1074,725,198,380,233,134,180,342
1648812130870,1012,754,155,293,225,129,152,320
1648812130999,994,749,126,345,239,130,149,302
1648812131127,997,791,130,264,223,118,144,312
1648812131255,1004,758,130,263,206,104,123,285
1648812131384,929,740,112,250,179,74,92,275
1648812131385,929,740,112,250,179,74,92,275
1648812131516,916,695,120,248,155,70,88,244
1648812131650,855,679,127,157,130,60,79,208
1648812131654,855,679,127,157,130,60,79,208
1648812131808,702,631,114,162,167,58,74,183
1648812132003,580,499,117,171,240,80,66,160
1648812132195,642,509,118,228,285,99,63,140
1648812132390,645,602,112,234,303,126,66,139
1648812132586,677,576,112,299,325,130,78,213
1648812132587,677,576,112,299,325,130,78,213
1648812132777,810,600,112,316,318,132,79,229
1648812132964,850,642,106,321,288,120,79,234
1648812133125,864,651,174,303,258,129,88,249
1648812133274,871,571,188,296,270,104,86,242
1648812133422,803,603,197,258,243,101,70,173
1648812133428,756,681,197,257,231,102,64,146
1648812133434,690,629,198,251,253,119,67,171
1648812133440,623,608,143,241,294,100,57,205
1648812133445,608,590,127,240,271,110,53,208
1648812133452,608,559,99,206,273,110,55,206
1648812133457,498,356,93,153,309,115,59,199
1648812133463,519,357,89,134,281,100,57,176
1648812133468,535,359,83,106,226,98,57,134
1648812133469,535,359,83,106,226,98,57,134
1648812133475,469,348,74,135,223,84,56,135
1648812133480,490,265,84,147,210,84,56,134
1648812133486,485,280,86,161,175,90,55,131
1648812133492,418,270,86,168,186,88,56,125
1648812133497,332,245,87,219,185,86,51,97
1648812133504,405,246,85,208,206,88,54,90
1648812133510,445,278,73,195,234,97,57,84
1648812133515,462,260,77,223,240,86,53,71
1648812133521,530,261,78,228,230,86,49,71
1648812133527,554,277,74,187,233,91,52,96
1648812133533,543,272,74,192,233,90,51,95
1648812133539,500,248,77,224,236,82,48,100
1648812133544,470,258,74,253,230,76,46,100
1648812133545,470,258,74,253,230,76,46,100
1648812133550,413,271,75,250,230,77,49,100
1648812133556,411,262,75,253,240,66,43,76
1648812133561,369,286,70,256,229,66,42,76
1648812133567,384,324,73,262,209,67,45,70
1648812133572,388,336,71,200,199,69,49,69
1648812133578,408,353,67,210,205,64,47,64
1648812133584,406,397,67,201,192,71,47,93
1648812133589,471,381,72,198,189,68,45,94
1648812133595,474,367,69,168,211,64,45,96
1648812133601,488,400,67,182,206,68,42,97
1648812133608,465,421,66,193,232,64,40,99
1648812133616,471,409,58,198,254,55,40,80
1648812133623,397,405,56,181,248,57,44,78
1648812133630,366,449,55,166,218,60,43,78
1648812133637,328,440,59,158,281,55,40,74
1648812133645,370,400,60,150,277,69,42,78
1648812133652,353,388,63,153,252,70,41,77
1648812133659,408,396,62,200,253,68,40,81
1648812133660,408,396,62,200,253,68,40,81
1648812133667,388,319,57,215,261,66,38,78
1648812133674,384,297,48,214,213,80,42,78
1648812133675,384,297,48,214,213,80,42,78
1648812133681,356,335,50,203,181,77,41,75
1648812133689,355,375,68,198,214,75,41,78
1648812133696,309,355,76,220,242,85,43,71
1648812133704,342,359,77,229,241,87,44,70
1648812133711,355,353,84,231,211,77,42,74
1648812133718,376,323,81,227,225,68,41,72
1648812133724,354,276,70,224,198,79,40,53
1648812133731,343,270,59,188,184,69,36,50
1648812133738,305,277,60,168,180,68,35,51
1648812133744,362,255,53,178,190,65,35,49
1648812133754,327,253,61,201,168,68,37,55
1648812133761,331,258,61,201,162,65,37,57
1648812133768,324,276,63,173,170,65,34,57
1648812133773,344,277,67,190,190,60,32,58
1648812133782,300,275,66,179,180,62,31,58
1648812133788,313,262,58,146,181,57,28,57
1648812133789,313,262,58,146,181,57,28,57
1648812133793,304,256,54,163,199,50,27,58
1648812133794,304,256,54,163,199,50,27,58
1648812133799,315,236,52,167,215,62,32,62
1648812133804,335,223,46,137,192,65,32,62
1648812133809,297,229,48,143,206,63,32,64
1648812133810,297,229,48,143,206,63,32,64
1648812133814,297,232,51,152,213,66,34,59
1648812133815,297,232,51,152,213,66,34,59
1648812133820,320,179,50,129,209,69,35,57
1648812133825,310,181,59,139,181,62,36,55
1648812133830,308,198,58,190,188,63,35,54
1648812133831,308,198,58,190,188,63,35,54
1648812133836,361,215,56,185,241,65,35,48
1648812133841,347,207,53,183,242,62,35,49
1648812133847,330,200,53,213,235,57,35,55
1648812133853,349,206,42,216,264,54,32,53
1648812133854,349,206,42,216,264,54,32,53
1648812133859,332,203,44,185,302,54,34,52
1648812133864,297,186,48,180,263,53,36,52
1648812133869,280,193,54,184,252,60,37,52
1648812133870,280,193,54,184,252,60,37,52
1648812133875,291,203,51,149,247,62,36,48
1648812133880,337,235,51,145,272,70,39,51
1648812133887,315,227,52,132,226,73,41,52
1648812133893,323,217,49,139,226,78,39,52
1648812133899,352,215,42,131,234,74,38,49
1648812133900,352,215,42,131,234,74,38,49
1648812133906,349,221,47,145,246,78,38,50
1648812133912,294,197,45,132,180,71,35,46
1648812133918,293,188,46,149,191,63,30,42
1648812133923,317,207,46,146,176,66,31,41
1648812133930,304,208,47,139,179,73,37,48
1648812133937,320,215,45,187,170,70,41,50
1648812133945,330,215,49,187,189,71,43,53
1648812133952,352,229,45,169,175,75,44,56
1648812133959,315,219,43,170,206,67,42,55
1648812133967,330,232,45,178,207,71,42,52
1648812133975,304,215,49,127,210,73,40,47
1648812133981,296,208,47,135,175,73,41,44
1648812133989,284,233,50,146,273,76,40,39
1648812133996,279,247,51,150,257,81,41,43
1648812134003,247,255,49,150,248,73,35,41
1648812134011,259,250,42,141,242,70,35,43
1648812134018,250,276,45,141,254,67,33,44
1648812134025,282,267,41,143,153,62,34,49
1648812134032,302,271,40,145,169,56,37,47
1648812134039,318,253,46,161,179,57,36,51
1648812134046,323,280,55,181,188,62,36,52
1648812134053,345,284,56,171,173,66,35,54
1648812134060,331,271,67,158,209,71,34,52
1648812134066,320,256,75,164,198,76,35,55
1648812134071,335,259,73,147,190,77,35,52
1648812134077,355,265,67,121,186,73,34,52
1648812134082,343,221,64,136,222,72,33,54
1648812134088,333,236,52,136,180,64,33,56
1648812134094,333,241,43,145,174,64,30,52
1648812134100,341,262,42,144,188,59,27,52
1648812134105,328,224,42,175,196,57,28,53
1648812134111,319,233,43,243,193,73,32,46
1648812134116,324,201,44,250,196,94,31,45
1648812134122,307,193,42,247,206,89,31,44
1648812134127,303,269,50,246,202,88,35,59
1648812134128,303,269,50,246,202,88,35,59
1648812134134,359,283,49,226,186,88,37,57
1648812134140,413,313,47,142,178,76,37,66
1648812134145,405,319,51,131,229,53,38,67
1648812134151,450,315,50,112,226,66,37,71
1648812134156,419,238,43,111,233,78,37,57
1648812134162,388,278,41,127,240,89,35,65
1648812134168,327,238,42,126,223,88,32,57
1648812134173,376,265,38,166,174,88,31,56
1648812134179,365,283,39,195,226,79,34,58
1648812134185,372,280,39,200,221,75,34,58
1648812134190,348,247,40,191,214,61,33,48
1648812134196,379,305,39,188,216,59,36,47
1648812134202,336,274,38,168,246,64,37,45
1648812134203,336,274,38,168,246,64,37,45
1648812134208,312,300,35,175,188,68,37,38
1648812134214,317,294,34,167,192,62,37,41
1648812134219,320,293,36,168,207,64,39,49
1648812134225,322,241,39,170,199,61,37,53
1648812134231,336,251,41,157,150,61,38,59
1648812134232,336,251,41,157,150,61,38,59
1648812134236,325,197,41,114,184,58,34,58
1648812134237,325,197,41,114,184,58,34,58
1648812134242,345,192,46,110,208,65,34,58
1648812134248,366,188,47,101,208,67,36,55
1648812134254,339,191,43,96,216,73,35,52
1648812134260,314,174,44,118,221,72,32,44
1648812134265,337,169,45,108,243,76,33,45
1648812134266,337,169,45,108,243,76,33,45
1648812134271,320,208,40,166,241,74,39,45
1648812134277,294,209,43,174,236,78,39,41
1648812134282,282,200,42,186,232,76,37,43
1648812134283,282,200,42,186,232,76,37,43
1648812134288,284,222,42,173,230,71,39,44
1648812134289,284,222,42,173,230,71,39,44
1648812134294,292,236,46,180,181,66,39,44
1648812134299,279,220,47,139,167,62,30,42
1648812134300,279,220,47,139,167,62,30,42
1648812134306,325,201,42,136,176,56,33,47
1648812134311,318,195,42,123,177,54,33,45
1648812134317,314,181,41,137,199,63,31,46
1648812134323,284,167,37,144,262,64,34,45
1648812134329,277,148,35,140,259,67,35,43
1648812134334,215,158,40,141,243,72,30,39
1648812134340,239,196,40,140,245,69,32,43
1648812134347,237,199,43,132,239,61,33,41
1648812134352,251,248,43,112,195,58,31,41
1648812134353,251,248,43,112,195,58,31,41
1648812134358,259,255,41,108,196,67,34,43
1648812134363,275,292,37,171,210,66,36,47
1648812134364,275,292,37,171,210,66,36,47
1648812134369,347,278,43,183,231,66,37,47
1648812134375,358,289,40,178,228,68,37,49
1648812134381,350,261,45,230,217,80,39,48
1648812134386,353,246,47,237,223,83,39,46
1648812134387,353,246,47,237,223,83,39,46
1648812134392,357,199,48,194,216,85,40,46
1648812134393,357,199,48,194,216,85,40,46
1648812134398,280,223,46,186,241,91,39,43
1648812134399,280,223,46,186,241,91,39,43
1648812134404,303,199,45,194,236,92,37,43
1648812134409,293,190,39,131,231,93,43,51
1648812134410,293,190,39,131,231,93,43,51
1648812134415,330,203,37,122,217,102,42,51
1648812134416,330,203,37,122,217,102,42,51
1648812134421,306,204,36,114,237,111,40,45
1648812134427,309,189,37,160,191,110,41,52
1648812134432,298,194,38,162,204,110,41,50
1648812134433,298,194,38,162,204,110,41,50
1648812134438,344,228,40,164,200,108,36,47
1648812134439,344,228,40,164,200,108,36,47
1648812134444,326,244,42,172,214,98,33,49
1648812134445,326,244,42,172,214,98,33,49
1648812134450,359,251,41,191,209,88,32,52
1648812134456,363,232,41,155,201,86,32,45
1648812134461,338,240,39,142,204,83,32,47
1648812134467,314,224,39,162,206,81,28,45
1648812134472,339,221,39,155,179,75,29,45
1648812134473,339,221,39,155,179,75,29,45
1648812134478,323,252,45,134,185,66,31,47
1648812134479,323,252,45,134,185,66,31,47
1648812134484,352,260,46,142,208,65,29,50
1648812134490,352,253,49,164,186,70,32,60
1648812134499,379,224,48,140,178,59,32,59
1648812134505,386,273,50,144,205,54,35,63
1648812134510,365,264,45,148,207,72,37,58
1648812134511,365,264,45,148,207,72,37,58
1648812134516,343,273,44,138,190,73,37,54
1648812134517,343,273,44,138,190,73,37,54
1648812134522,380,277,39,121,191,71,36,44
1648812134528,403,291,38,127,195,74,37,51
1648812134534,375,228,33,117,205,85,35,47
1648812134540,377,235,33,114,178,82,32,51
1648812134545,374,219,36,123,178,82,32,53
1648812134551,357,210,40,151,191,95,32,52
1648812134556,358,203,40,165,204,101,32,54
1648812134557,358,203,40,165,204,101,32,54
1648812134561,382,221,44,175,206,91,33,58
1648812134567,446,193,48,171,207,84,33,61
1648812134573,471,203,44,171,216,93,34,63
1648812134574,471,203,44,171,216,93,34,63
1648812134579,469,204,45,144,215,78,35,63
1648812134585,427,247,48,129,248,77,34,59
1648812134590,393,244,46,111,227,81,33,52
1648812134597,330,246,45,119,225,82,31,47
1648812134602,311,263,44,119,217,76,30,45
1648812134608,370,263,44,117,234,97,27,46
1648812134613,356,216,47,110,200,101,32,48
1648812134619,347,207,46,108,200,99,34,50
1648812134624,344,198,43,110,218,102,33,48
1648812134625,344,198,43,110,218,102,33,48
1648812134630,374,172,46,115,225,106,39,48
1648812134635,302,178,45,113,223,88,40,47
1648812134641,327,184,37,117,216,80,37,40
1648812134647,378,184,38,124,207,79,37,38
1648812134652,408,170,40,114,204,76,37,38
1648812134652,408,170,40,114,204,76,37,38
